               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.054768,            0.086381,                   0,             0.72627,             0.63973,             0.70471,             0.31247,            0.051897,            0.071639,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.053072,            0.085867,                   0,             0.72166,             0.63735,             0.69116,             0.31009,            0.052215,            0.071979,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.053399,            0.086348,                   0,             0.71962,             0.64041,             0.70838,             0.30058,             0.05299,            0.071777,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.054041,            0.085874,                   0,             0.71818,             0.63803,             0.67922,             0.30697,            0.052361,             0.07252,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.053199,            0.087055,                   0,             0.71834,             0.62818,             0.69777,             0.30811,            0.052754,            0.071934,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.052607,              0.0849,                   0,             0.72093,             0.63939,             0.70194,             0.31096,            0.051974,            0.072031,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.053507,            0.085515,                   0,             0.73965,             0.63284,             0.70421,             0.31168,            0.052057,            0.071336,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.052953,            0.085586,                   0,             0.71209,             0.65127,             0.70763,             0.30764,            0.052076,            0.071001,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.053461,            0.086635,                   0,             0.72302,             0.66214,             0.70826,             0.31166,            0.051445,            0.071287,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.053115,            0.086216,                   0,             0.70463,             0.62293,             0.69506,             0.30109,            0.052808,            0.072998,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.052636,            0.084874,                   0,             0.73622,             0.66655,             0.69931,             0.31925,            0.050784,            0.071904,                   0,            0.007822,            0.007822,            0.007822
                  68,             0.05279,            0.085066,                   0,             0.73591,             0.63803,             0.70655,             0.32291,            0.051727,            0.071478,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.053592,            0.088045,                   0,             0.72103,             0.63362,             0.68887,             0.30189,            0.052564,            0.072675,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.052839,            0.087465,                   0,             0.70807,             0.60533,             0.69119,             0.30957,             0.05179,            0.074177,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.052226,            0.082683,                   0,             0.71686,             0.63876,             0.68048,             0.30839,            0.051204,            0.072894,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.052655,            0.085897,                   0,             0.74567,             0.63294,             0.71741,             0.31343,            0.050816,            0.071252,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.052518,            0.087838,                   0,             0.73708,             0.65093,             0.72348,             0.31742,             0.05285,            0.070423,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.052288,            0.085401,                   0,             0.70878,              0.6146,             0.66596,             0.30104,            0.053214,            0.073782,                   0,            0.007591,            0.007591,            0.007591
                  75,             0.05285,            0.084351,                   0,             0.72168,             0.65506,             0.71295,              0.3071,            0.051679,            0.070968,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.052709,            0.085042,                   0,             0.69492,             0.63837,             0.68618,             0.30927,             0.05176,            0.072594,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.052236,            0.087052,                   0,             0.72355,             0.62833,             0.69757,             0.31742,            0.050996,             0.07277,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.052654,            0.085219,                   0,             0.73161,             0.66044,              0.7048,             0.32206,            0.051153,            0.071332,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.052191,            0.085081,                   0,             0.72563,             0.64652,             0.69978,             0.30908,            0.052316,            0.070953,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.052524,            0.086002,                   0,             0.73323,              0.6505,             0.71283,             0.31737,            0.051388,            0.070358,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.052302,             0.08546,                   0,             0.72522,             0.64436,             0.70913,             0.32504,            0.051877,            0.071606,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.052464,            0.086829,                   0,             0.72583,             0.64652,             0.70557,             0.32726,            0.050553,            0.072149,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.051731,            0.084697,                   0,             0.72889,              0.6309,             0.68249,             0.31919,            0.051036,            0.072948,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.051851,             0.08332,                   0,             0.72656,             0.61834,             0.68593,             0.31743,            0.052078,            0.073436,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.052253,            0.085714,                   0,             0.71521,              0.6353,             0.67953,             0.31079,               0.052,            0.072563,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.052307,            0.085623,                   0,             0.73143,             0.64584,             0.68758,             0.31963,            0.051179,            0.071775,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.052215,            0.087419,                   0,             0.73495,             0.66044,             0.71837,             0.33347,            0.050658,            0.072263,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.051895,             0.08479,                   0,             0.70258,             0.65229,             0.70522,             0.32089,            0.051042,            0.071985,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.051738,            0.085273,                   0,             0.72933,              0.6652,             0.72867,             0.32826,            0.050577,            0.070623,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.052126,            0.086664,                   0,             0.73933,             0.64414,             0.70923,              0.3297,             0.05006,            0.071719,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.051603,            0.084087,                   0,              0.7349,              0.6326,             0.70942,              0.3257,            0.050769,            0.072394,                   0,             0.00703,             0.00703,             0.00703
                  92,             0.05125,            0.085518,                   0,              0.7238,             0.65161,               0.704,              0.3263,            0.050424,             0.07118,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.051917,            0.085834,                   0,             0.74039,             0.65656,             0.73673,             0.33659,            0.050185,            0.070561,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.051955,            0.085798,                   0,             0.75548,             0.66094,             0.74066,             0.35164,            0.049027,            0.070282,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.052347,            0.086487,                   0,             0.73492,              0.6458,             0.71653,             0.33491,            0.050145,            0.070923,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.051208,            0.083362,                   0,             0.72279,             0.65433,             0.69513,             0.33013,            0.050877,             0.07194,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.051297,            0.085266,                   0,             0.72035,             0.66214,             0.71843,             0.32534,            0.050283,             0.07142,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.050979,            0.083881,                   0,             0.75288,             0.62898,             0.72025,             0.33354,            0.050425,             0.07145,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.051215,            0.083055,                   0,             0.72325,             0.66111,             0.71722,             0.32446,            0.050279,            0.072039,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.051267,            0.085294,                   0,             0.74941,             0.67776,             0.73354,             0.34143,            0.049001,             0.07023,                   0,            0.006733,            0.006733,            0.006733
                 101,             0.05144,            0.083956,                   0,             0.72667,             0.66655,              0.7301,             0.33951,            0.049854,            0.070226,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.050995,            0.081906,                   0,             0.70744,             0.67063,              0.7118,             0.33064,            0.050367,            0.071151,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.051014,             0.08372,                   0,             0.74225,             0.64312,             0.73586,             0.34118,            0.049899,             0.07148,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.051366,            0.084811,                   0,             0.71186,             0.64686,             0.71211,              0.3192,            0.050437,            0.072162,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.050941,            0.083465,                   0,             0.74336,             0.61177,             0.69843,             0.32534,            0.051315,            0.073275,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.050779,            0.084975,                   0,             0.72492,             0.66248,             0.71538,              0.3366,            0.049475,            0.072357,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.050567,            0.084104,                   0,             0.69989,             0.65806,             0.71126,             0.33082,             0.05021,            0.071238,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.050884,            0.082758,                   0,             0.72294,             0.64109,             0.71636,             0.32982,            0.050209,            0.072289,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.050918,            0.083116,                   0,             0.72999,             0.67016,             0.74067,             0.34053,            0.050071,            0.070219,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.050399,            0.082859,                   0,             0.74214,             0.63912,             0.72055,             0.33628,             0.04997,            0.072658,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.050853,            0.084477,                   0,             0.74197,             0.66592,             0.73422,             0.34052,             0.04964,            0.070875,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.051193,            0.085752,                   0,             0.73129,             0.66384,             0.71913,             0.33835,            0.050179,            0.071379,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.050579,            0.083784,                   0,             0.71641,             0.66825,             0.72813,             0.34307,            0.049728,            0.071351,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.050717,              0.0835,                   0,             0.73657,             0.64278,             0.72595,             0.33764,            0.050454,            0.071606,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.050494,            0.085031,                   0,             0.72928,             0.67946,             0.74193,              0.3453,            0.049359,            0.070606,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.050561,            0.084462,                   0,             0.72528,             0.66486,             0.73151,             0.32961,            0.050648,            0.070957,                   0,            0.006205,            0.006205,            0.006205
                 117,             0.05074,            0.086161,                   0,             0.73255,             0.63429,             0.71048,             0.31829,             0.05459,            0.071347,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.050495,            0.082818,                   0,             0.73248,             0.64788,              0.7165,             0.32987,            0.051185,            0.072003,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.050445,             0.08418,                   0,             0.74031,             0.65242,             0.73007,             0.34025,            0.049562,            0.072017,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.050834,            0.084707,                   0,             0.72948,             0.66476,             0.73135,             0.34245,            0.049121,            0.070634,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.050336,            0.083676,                   0,             0.72839,             0.67301,             0.72226,             0.33926,            0.049218,            0.071407,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.051343,            0.087745,                   0,             0.72719,             0.66316,             0.72058,             0.33314,            0.049798,            0.071624,                   0,            0.006007,            0.006007,            0.006007
                 123,             0.05065,            0.084927,                   0,             0.72304,             0.66282,             0.72927,             0.34614,             0.04942,            0.071166,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.050271,             0.08506,                   0,             0.72592,             0.65263,             0.69839,             0.32216,            0.049902,            0.072142,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.050003,            0.082715,                   0,             0.73928,             0.65772,             0.72548,             0.34244,             0.04966,              0.0712,                   0,            0.005908,            0.005908,            0.005908
                 126,             0.04979,            0.084329,                   0,             0.75459,             0.62954,             0.72945,             0.34085,             0.04964,            0.071606,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.050259,             0.08274,                   0,             0.72838,             0.64559,             0.70396,             0.32691,            0.049976,            0.071801,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.050516,            0.083748,                   0,             0.73268,             0.66044,             0.70684,             0.33761,            0.049374,            0.071448,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.050196,            0.084247,                   0,             0.73948,             0.65535,             0.73245,             0.33874,            0.049484,            0.070939,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.050014,            0.084172,                   0,             0.73302,             0.65446,             0.73511,             0.35295,            0.048756,            0.071137,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.049576,            0.081334,                   0,             0.71654,             0.68014,             0.72713,             0.34156,            0.048803,            0.071303,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.050219,            0.084557,                   0,             0.73528,             0.65908,             0.73456,             0.34539,            0.049401,             0.07137,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.050214,            0.082484,                   0,             0.72999,             0.64516,              0.7057,             0.33664,            0.049926,            0.072007,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.049952,            0.083583,                   0,              0.7346,             0.66259,             0.71298,             0.33535,             0.04945,            0.071332,                   0,            0.005611,            0.005611,            0.005611
                 135,             0.04978,            0.082419,                   0,             0.73979,             0.65399,             0.72708,             0.34716,            0.049563,            0.071932,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.049591,            0.082593,                   0,             0.73425,             0.66689,             0.73792,              0.3518,            0.048875,             0.07062,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.049625,            0.082074,                   0,             0.74667,             0.66054,              0.7226,             0.34635,            0.049103,            0.071187,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.050297,            0.082138,                   0,             0.71448,             0.67097,             0.71587,             0.34097,            0.049416,            0.072329,                   0,            0.005479,            0.005479,            0.005479
